"Rank","Title","Year","Country","Runtime","Director","Genre","MainRole","Kinopoisk","IMDb"
1,"Ла-Ла Ленд","2016","            США",128," Дэмьен Шазелл","мюзикл","Райан Гослинг",7.9,8
2,"Оно","2017","            США",135," Андрес Мускетти","ужасы","Джейден Мартелл",7.3,7.3
3,"Логан","2017","            США",137," Джеймс Мэнголд","фантастика","Хью Джекман",7.5,8.1
4,"Сплит","2017","            США",117," М. Найт Шьямалан","ужасы","Джеймс МакЭвой",6.9,7.3
5,"Бегущий по лезвию 2049","2017","            США",164," Дени Вильнёв","фантастика","Райан Гослинг",7.6,8
6,"Дюнкерк","2017","            Великобритания",106," Кристофер Нолан","военный","Финн Уайтхед",7.3,7.9
7,"Тор: Рагнарёк","2017","            США",130," Тайка Вайтити","фантастика","Крис Хемсворт",7.5,7.9
8,"Пираты Карибского моря: Мертвецы не рассказывают сказки","2017","            США",129," Хоаким Роннинг...","фэнтези","Джонни Депп",6.5,6.6
9,"Стражи Галактики. Часть 2","2017","            США",136," Джеймс Ганн","фантастика","Крис Пратт",7.5,7.6
10,"Меч короля Артура","2017","            США",126," Гай Ричи","фэнтези","Чарли Ханнэм",7.1,6.7
11,"Лига справедливости","2017","            США",110," Зак Снайдер","фантастика","Бен Аффлек",6.2,6.4
12,"Человек-паук: Возвращение домой","2017","            США",133," Джон Уоттс","фантастика","Том Холланд",7.1,7.4
13,"Крым","2017","            Россия",99," Алексей Пиманов","драма","Роман Курцын",3,7
14,"Чудо-женщина","2017","            США",141," Пэтти Дженкинс","фантастика","Галь Гадот",6.7,7.4
15,"Притяжение","2017","            Россия",132," Фёдор Бондарчук","фантастика","Ирина Старшенбаум",5.6,5.5
16,"Валериан и город тысячи планет","2017","            Франция",137," Люк Бессон","фантастика","Дэйн ДеХаан",6.7,6.5
17,"Тёмная башня","2017","            США",95," Николай Арсель","ужасы","Идрис Эльба",5.7,5.6
18,"Убийство в Восточном экспрессе","2017","            Мальта",114," Кеннет Брана","детектив","Кеннет Брана",6.7,6.5
19,"Kingsman: Золотое кольцо","2017","            Великобритания",141," Мэттью Вон","боевик","Тэрон Эджертон",6.8,6.7
20,"Живое","2017","            США",103," Даниэль Эспиноса","ужасы","Хироюки Санада",6.5,6.6
21,"Чужой: Завет","2017","            США",122," Ридли Скотт","ужасы","Майкл Фассбендер",6,6.4
22,"Матильда","2017","            Россия",109," Алексей Учитель","драма","Михалина Ольшанска",5.7,5.3
23,"Малыш на драйве","2017","            Великобритания",113," Эдгар Райт","боевик","Энсел Элгорт",7.2,7.6
24,"Призрак в доспехах","2017","            США",106," Руперт Сандерс","фантастика","Скарлетт Йоханссон",6.4,6.3
25,"мама!","2017","            США",121," Даррен Аронофски","ужасы","Дженнифер Лоуренс",7.1,6.6
26,"Красавица и чудовище","2017","            США",129," Билл Кондон","мюзикл","Эмма Уотсон",6.7,7.1
27,"Пассажиры","2016","            США",116," Мортен Тильдум","фантастика","Дженнифер Лоуренс",7.1,7
28,"Форсаж 8","2017","            США",136," Ф. Гэри Грей","боевик","Вин Дизель",6.2,6.7
29,"Викинг","2016","            Россия",133," Андрей Кравчук","история","Данила Козловский",4.6,4.5
30,"Кредо убийцы","2016","            США",115," Джастин Курзель","фантастика","Майкл Фассбендер",5.7,5.7
31,"Джон Уик 2","2017","            США",122," Чад Стахелски","боевик","Киану Ривз",6.9,7.5
32,"Защитники","2017","            Россия",89," Сарик Андреасян","фантастика","Антон Пампушный",3,4
33,"Лекарство от здоровья","2017","            США",146," Гор Вербински","ужасы","Дэйн ДеХаан",6.3,6.4
34,"Звёздные войны: Последние джедаи","2017","            США",151," Райан Джонсон","фантастика","Марк Хэмилл",6.7,7
35,"Время первых","2017","            Россия",140," Дмитрий Киселёв","приключения","Евгений Миронов",7.5,7.3
36,"Мумия","2017","            США",110," Алекс Куртцман","фэнтези","Том Круз",5.6,5.4
37,"По соображениям совести","2016","            Австралия",139," Мэл Гибсон","драма","Эндрю Гарфилд",7.9,8.1
38,"Конг: Остров черепа","2017","            США",118," Джордан Вот-Робертс","фантастика","Том Хиддлстон",6.5,6.6
39,"Прибытие","2016","            США",116," Дени Вильнёв","фантастика","Эми Адамс",7.5,7.9
40,"Игра престолов  (сериал)","2011 – 2019","            США",55," Дэвид Наттер...","фэнтези","Питер Динклэйдж",9,9.3
41,"Взрывная блондинка","2017","            Германия",115," Дэвид Литч","боевик","Шарлиз Терон",6.4,6.7
42,"Трансформеры: Последний рыцарь","2017","            США",154," Майкл Бэй","фантастика","Марк Уолберг",5.6,5.2
43,"На пятьдесят оттенков темнее","2017","            США",118," Джеймс Фоули","драма","Дакота Джонсон",5.2,4.6
44,"Телохранитель киллера","2017","            США",118," Патрик Хьюз","боевик","Райан Рейнольдс",6.8,6.9
45,"Под покровом ночи","2016","            США",116," Том Форд","триллер","Эми Адамс",7.3,7.5
46,"Планета обезьян: Война","2017","            США",140," Мэтт Ривз","фантастика","Энди Серкис",6.9,7.4
47,"Снеговик","2017","            Великобритания",119," Томас Альфредсон","триллер","Майкл Фассбендер",5.6,5.1
48,"Очень странные дела  (сериал)","2016 – ...","            США",51," Мэтт Даффер...","ужасы","Дэвид Харбор",8.5,8.8
49,"Последний богатырь","2017","            Россия",114," Дмитрий Дьяченко","комедия","Виктор Хориняк",6.8,6.5
50,"Молчание","2016","            Мексика",161," Мартин Скорсезе","драма","Эндрю Гарфилд",7.1,7.2
